StateCode,State,Region
AK,ALASKA,WEST
FL,FLORIDA,EAST
GA,GEORGIA,EAST
HI,HAWAII,WEST
IA,IOWA,NORTH
ID,IDAHO,WEST
IL,ILLINOIS,NORTH
IN,INDIANA,CENTRAL
KS,KANSAS,CENTRAL
KY,KENTUCKY,EAST
LA,LOUISIANA,SOUTH
AL,ALABAMA,EAST
MA,MASSACHUSETTS,EAST
MD,MARYLAND,EAST
ME,MAINE,EAST
MI,MICHIGAN,NORTH
MN,MINNESOTA,WEST
MO,MISSOURI,NORTH
MS,MISSISSIPPI,NORTH
MT,MONTANA,CENTRAL
NC,NORTH CAROLINA,EAST
ND,NORTH DAKOTA,NORTH
AR,ARKANSAS,EAST
NE,NEBRASKA,CENTRAL
NH,NEW HAMPSHIRE,EAST
NJ,NEW JERSEY,EAST
NM,NEW MEXICO,SOUTH
NV,NEVADA,NORTH
NY,NEW YORK,EAST
OH,OHIO,NORTH
OK,OKLAHOMA,SOUTH
OR,OREGON,WEST
PA,PENNSYLVANIA,EAST
AZ,ARIZONA,WEST
RI,RHODE ISLAND,EAST
SC,SOUTH CAROLINA,EAST
SD,SOUTH DAKOTA,NORTH
TN,TENNESSEE,EAST
TX,TEXAS,SOUTH
UT,UTAH,WEST
VA,VIRGINIA,EAST
VT,VERMONT,EAST
WA,WASHINGTON,WEST
WI,WISCONSIN,NORTH
CA,CALIFORNIA,WEST
WV,WEST VIRGINIA,EAST
WY,WYOMING,WEST
CO,COLORADO,CENTRAL
CT,CONNECTICUT,EAST
DC,DISTRICT OF COLUMBIA,EAST
DE,DELWARE,EAST
